         1748559 function calls (1652450 primitive calls) in 26.401 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       78    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:2783(get_transformed_path_and_affine)
       78    0.001    0.000    0.001    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       36    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\cbook\__init__.py:560(_get_data_path)
      405    0.001    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:2054(scale)
      128    0.000    0.000    0.001    0.000 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\multiprocessing\reduction.py:106(__init__)
       53    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
        6    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\legend_handler.py:87(update_prop)
     7673    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      792    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\cbook\__init__.py:1337(_to_unmasked_float_array)
       54    0.001    0.000    0.001    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       72    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\ticker.py:218(<listcomp>)
      182    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:790(unit)
      184    0.001    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:624(translated)
       37    0.000    0.000    0.001    0.000 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\pathlib.py:1015(__new__)
       54    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\numpy\lib\stride_tricks.py:546(<listcomp>)
      378    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\artist.py:1048(set_visible)
       10    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\PIL\PngImagePlugin.py:1082(putchunk)
       32    0.000    0.000    0.001    0.000 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\multiprocessing\popen_spawn_win32.py:28(_close_handles)
        2    0.000    0.000    0.001    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axes\_base.py:1206(_gen_axes_spines)
        2    0.000    0.000    0.001    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axes\_base.py:1221(<dictcomp>)
        8    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\spines.py:425(linear_spine)
      132    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\lines.py:716(_get_transformed_path)
       11    0.001    0.000    0.001    0.000 {built-in method nt.mkdir}
      238    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\backend_bases.py:928(set_clip_path)
        2    0.000    0.000    0.001    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\PIL\PngImagePlugin.py:1100(write)
     2108    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      531    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\lines.py:1195(_set_markercolor)
       38    0.000    0.000    0.001    0.000 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\pathlib.py:662(_from_parts)
      108    0.001    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\numpy\lib\stride_tricks.py:340(_broadcast_to)
      288    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\numpy\core\fromnumeric.py:3245(around)
      180    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\text.py:1098(set_fontsize)
       32    0.001    0.000    0.001    0.000 {method 'write' of '_io.BufferedRandom' objects}
      120    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\lines.py:701(_transform_path)
        2    0.000    0.000    0.001    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axes\_base.py:2809(autoscale_view)
        2    0.000    0.000    0.001    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\PIL\Image.py:637(_ensure_mutable)
        2    0.000    0.000    0.001    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\PIL\Image.py:631(_copy)
      219    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(concatenate)
    30/18    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\_api\deprecation.py:379(wrapper)
       96    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\offsetbox.py:76(_get_packed_offsets)
        6    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\legend_handler.py:78(_update_prop)
       36    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:1596(transform_path)
      944    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\font_manager.py:1075(_expand_aliases)
        6    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\legend_handler.py:84(_default_update_prop)
       72    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(ptp)
      330    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\ticker.py:568(__call__)
       33    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\src\genetics\NEAT.py:324(add_connection_mutation)
        2    0.001    0.001    0.001    0.001 {method 'copy' of 'ImagingCore' objects}
      240    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\_api\__init__.py:134(check_shape)
       87    0.000    0.000    0.001    0.000 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\copy.py:235(_deepcopy_method)
     6872    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFBC21D3810}
        8    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\offsetbox.py:718(__init__)
     1051    0.001    0.000    0.001    0.000 {built-in method matplotlib._path.affine_transform}
      186    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:1835(frozen)
       39    0.000    0.000    0.001    0.000 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\pathlib.py:642(_parse_args)
      200    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:328(ymax)
        1    0.000    0.000    0.001    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\_api\__init__.py:222(__getattr__)
        1    0.000    0.000    0.001    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\__init__.py:231(<lambda>)
        1    0.000    0.000    0.001    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\__init__.py:209(_get_version)
        1    0.000    0.000    0.001    0.001 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\multiprocessing\popen_spawn_win32.py:1(<module>)
        6    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axes\_base.py:544(<listcomp>)
       54    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\text.py:348(update_from)
      573    0.001    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\cbook\__init__.py:1324(is_math_text)
       12    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axes\_base.py:537(<genexpr>)
       32    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:654(<listcomp>)
        6    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axes\_base.py:347(_makeline)
        4    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axes\_base.py:3314(tick_params)
      195    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\text.py:1030(set_linespacing)
        1    0.000    0.000    0.001    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\backends\backend_agg.py:1(<module>)
        8    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\spines.py:35(__init__)
       32    0.000    0.000    0.001    0.000 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\multiprocessing\process.py:61(_cleanup)
      176    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:619(padded)
      136    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:1615(transform_path_non_affine)
      175    0.001    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\numpy\lib\stride_tricks.py:416(_broadcast_shape)
      141    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\artist.py:1159(update_from)
       78    0.001    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\src\genetics\genome.py:139(nodes)
        6    0.000    0.000    0.001    0.000 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\multiprocessing\context.py:65(Lock)
       72    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\numpy\core\fromnumeric.py:2604(ptp)
      216    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\numpy\core\_ufunc_config.py:33(seterr)
        4    0.000    0.000    0.001    0.000 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\ntpath.py:600(realpath)
       36    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:1605(transform_path_affine)
      180    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:313(xmin)
      374    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\markers.py:302(_set_fillstyle)
       11    0.001    0.000    0.001    0.000 {built-in method nt._getfinalpathname}
     2445    0.001    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\numpy\lib\function_base.py:346(iterable)
       13    0.000    0.000    0.001    0.000 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\genericpath.py:16(exists)
       96    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\offsetbox.py:157(_get_aligned_offsets)
      275    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:342(_set_artist_props)
        1    0.001    0.001    0.001    0.001 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\pathlib.py:1151(resolve)
        1    0.000    0.000    0.001    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\PIL\JpegImagePlugin.py:34(<module>)
      240    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\path.py:202(_update_values)
      132    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:2744(__init__)
      156    0.001    0.000    0.001    0.000 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\random.py:386(choices)
       32    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:655(<listcomp>)
       80    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:493(anchored)
        8    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\legend.py:908(_auto_legend_data)
      330    0.001    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:2910(_interval_contains_close)
       32    0.000    0.000    0.001    0.000 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\multiprocessing\spawn.py:78(get_command_line)
       75    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:2331(blended_transform_factory)
      192    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:318(ymin)
        4    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axes\_base.py:2868(handle_single_axis)
       39    0.000    0.000    0.001    0.000 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\pathlib.py:63(parse_parts)
      252    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:2041(translate)
      175    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:1109(get_points)
       32    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:657(<listcomp>)
       32    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:656(<listcomp>)
      180    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:323(xmax)
      144    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\numpy\core\_methods.py:93(_clip_dep_is_scalar_nan)
        6    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axes\_base.py:2323(_update_line_limits)
     1276    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      100    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(cumsum)
       32    0.001    0.000    0.001    0.000 {built-in method _winapi.CreatePipe}
        1    0.000    0.000    0.001    0.001 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\multiprocessing\connection.py:10(<module>)
      375    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\text.py:1249(set_verticalalignment)
       72    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:1870(_set_formatter)
      649    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\artist.py:271(convert_xunits)
     2072    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      183    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\lines.py:722(set_transform)
       60    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\offsetbox.py:667(get_bbox)
       48    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(any)
     1527    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
       90    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:250(__array__)
      295    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\font_manager.py:731(set_style)
7813/7791    0.001    0.000    0.001    0.000 {built-in method builtins.len}
       12    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\patches.py:603(get_window_extent)
       32    0.000    0.000    0.001    0.000 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\multiprocessing\pool.py:179(Process)
       70    0.001    0.000    0.001    0.000 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\multiprocessing\reduction.py:38(__init__)
      288    0.001    0.000    0.001    0.000 {method 'round' of 'numpy.ndarray' objects}
      330    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\ticker.py:516(_format_maybe_minus_and_locale)
       54    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:2772(get_transformed_points_and_affine)
        1    0.000    0.000    0.001    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\backend_bases.py:3567(new_figure_manager)
      177    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\lines.py:1219(set_markerfacecolor)
       30    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:499(_get_text1_transform)
  439/279    0.000    0.000    0.001    0.000 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\abc.py:100(__subclasscheck__)
       32    0.000    0.000    0.001    0.000 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\multiprocessing\process.py:224(exitcode)
       64    0.000    0.000    0.001    0.000 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\multiprocessing\process.py:342(__reduce__)
      212    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\text.py:1217(set_rotation)
        1    0.000    0.000    0.001    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\PIL\ImageMath.py:17(<module>)
       71    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:2289(__init__)
       72    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:338(max)
      458    0.001    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\cbook\__init__.py:197(__init__)
      100    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\numpy\core\fromnumeric.py:2523(cumsum)
       30    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axes\_base.py:1025(get_yaxis_text1_transform)
       26    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\offsetbox.py:217(__init__)
       32    0.000    0.000    0.001    0.000 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\multiprocessing\process.py:80(__init__)
      256    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\path.py:162(_fast_from_codes_and_verts)
      376    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:770(get_transform)
        4    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:2383(_update_offset_text_position)
      192    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\text.py:893(get_unitless_position)
        6    0.000    0.000    0.001    0.000 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\multiprocessing\connection.py:535(Pipe)
       72    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\numpy\core\_methods.py:281(_ptp)
     6738    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
       72    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:333(min)
       64    0.000    0.000    0.001    0.000 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\multiprocessing\synchronize.py:100(__getstate__)
     6061    0.001    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\artist.py:295(axes)
        2    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\pyplot.py:2614(grid)
       22    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:1701(update_units)
        1    0.000    0.000    0.001    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\figure.py:2408(__init__)
       25    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:438(_get_text1_transform)
       17    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
       36    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(diff)
     1364    0.001    0.000    0.001    0.000 {built-in method numpy.asanyarray}
      128    0.001    0.000    0.001    0.000 {built-in method _winapi.OpenProcess}
      334    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:2425(transform_non_affine)
      108    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\numpy\core\_ufunc_config.py:430(__enter__)
       12    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\path.py:603(get_extents)
      379    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\text.py:1000(set_horizontalalignment)
      177    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\lines.py:1121(set_linewidth)
     1544    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\cbook\__init__.py:1844(_str_equal)
    44/22    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\units.py:164(get_converter)
       48    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\numpy\core\fromnumeric.py:2333(any)
      770    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\text.py:1206(set_y)
  439/279    0.000    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
       25    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axes\_base.py:945(get_xaxis_text1_transform)
      295    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\font_manager.py:744(set_variant)
      111    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:1087(__init__)
       28    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\spines.py:227(_adjust_location)
        2    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\pyplot.py:3082(title)
       72    0.001    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\ticker.py:1899(scale_range)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       23    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
        2    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\src\genetics\NEAT.py:255(calculate_number_of_children_of_species)
        2    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\src\genetics\NEAT.py:180(check_population_improvements)
        2    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axes\_axes.py:104(set_title)
       30    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:502(_get_text2_transform)
       37    0.000    0.000    0.001    0.000 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\ntpath.py:442(normpath)
      458    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\font_manager.py:717(set_family)
     3558    0.001    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\font_manager.py:650(get_family)
      412    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\scale.py:115(get_transform)
        4    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\figure.py:216(_get_draw_artists)
      158    0.001    0.000    0.001    0.000 {built-in method builtins.round}
       33    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\src\genetics\genome.py:116(get_random_in_node)
 1055/583    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:2413(<lambda>)
     3155    0.001    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:1039(get_points)
       36    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:1802(transform_path_affine)
      115    0.000    0.000    0.001    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:2681(__init__)
