         1748559 function calls (1652450 primitive calls) in 26.401 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.089    0.044 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\backend_bases.py:2067(draw_idle)
       36    0.001    0.000    0.082    0.002 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:1269(_update_ticks)
        4    0.000    0.000    0.063    0.016 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axes\_base.py:2937(_update_title_position)
        2    0.000    0.000    0.062    0.031 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\multiprocessing\pool.py:670(_help_stuff_finish)
        2    0.061    0.031    0.061    0.031 {method 'acquire' of '_multiprocessing.SemLock' objects}
      312    0.001    0.000    0.058    0.000 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\multiprocessing\popen_spawn_win32.py:101(wait)
      312    0.058    0.000    0.058    0.000 {built-in method _winapi.WaitForSingleObject}
        8    0.000    0.000    0.057    0.007 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\multiprocessing\process.py:142(join)
    55/47    0.000    0.000    0.057    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:1556(_get_tick)
  350/312    0.001    0.000    0.055    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\_api\deprecation.py:443(wrapper)
        4    0.000    0.000    0.054    0.013 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:1321(get_tightbbox)
        3    0.000    0.000    0.053    0.018 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axes\_base.py:1388(clear)
        3    0.000    0.000    0.053    0.018 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axes\_base.py:1262(__clear)
        6    0.000    0.000    0.051    0.008 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\pyplot.py:2810(plot)
       54    0.000    0.000    0.050    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:293(draw)
      318    0.008    0.000    0.048    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\text.py:363(_get_layout)
       16    0.000    0.000    0.048    0.003 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\pyplot.py:2307(gca)
       16    0.000    0.000    0.048    0.003 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\figure.py:1649(gca)
        2    0.000    0.000    0.047    0.024 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\figure.py:643(add_subplot)
        2    0.000    0.000    0.047    0.024 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axes\_base.py:574(__init__)
       30    0.000    0.000    0.045    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:867(clear)
       55    0.001    0.000    0.042    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:58(__init__)
   187825    0.030    0.000    0.040    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\src\genetics\genome.py:27(add_node)
      148    0.002    0.000    0.040    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\text.py:738(draw)
       36    0.000    0.000    0.038    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:1607(get_major_ticks)
      192    0.001    0.000    0.037    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\text.py:918(get_window_extent)
        4    0.000    0.000    0.037    0.009 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\legend.py:708(draw)
        8    0.000    0.000    0.034    0.004 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:2604(_update_label_position)
       12    0.000    0.000    0.032    0.003 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:2128(_get_tick_boxes_siblings)
        2    0.000    0.000    0.031    0.016 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\pyplot.py:995(clf)
    30/26    0.000    0.000    0.031    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:477(__init__)
    28/16    0.000    0.000    0.030    0.002 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:583(__get__)
       24    0.000    0.000    0.029    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:1312(_get_ticklabel_bboxes)
       24    0.000    0.000    0.029    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:1316(<listcomp>)
        2    0.000    0.000    0.028    0.014 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\image.py:1569(imsave)
     48/4    0.000    0.000    0.027    0.007 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\artist.py:31(draw_wrapper)
     24/4    0.000    0.000    0.027    0.007 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\offsetbox.py:407(draw)
       44    0.027    0.001    0.027    0.001 {built-in method io.open}
    16/12    0.000    0.000    0.027    0.002 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:1094(set_clip_path)
        2    0.000    0.000    0.027    0.014 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\PIL\Image.py:2481(save)
        3    0.000    0.000    0.027    0.009 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\figure.py:3146(clear)
        3    0.000    0.000    0.027    0.009 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\figure.py:959(clear)
4276/3529    0.004    0.000    0.026    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      186    0.003    0.000    0.026    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\lines.py:728(draw)
    25/21    0.000    0.000    0.026    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:416(__init__)
        2    0.000    0.000    0.025    0.012 C:\Users\light\Documents\ntnu\cogito\NEATactics\src\utils\utils.py:123(read_fitness_file)
      636    0.002    0.000    0.024    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\text.py:93(_get_text_metrics_with_cache)
